Date,Open,High,Low,Close,Volume
17-08-2020,484.19,486.24,479.1,482.35,"24,23,545"
18-08-2020,484.35,495.3,482.8,491.87,"35,05,518"
19-08-2020,493.93,494.5,483.5,484.53,"31,56,218"
20-08-2020,484.69,498.94,483.89,497.9,"51,32,480"
21-08-2020,496.46,498.13,490,492.31,"39,21,293"
24-08-2020,495.44,501,483.16,488.81,"47,62,183"
25-08-2020,488.19,492.47,485.09,490.58,"57,27,721"
26-08-2020,492.5,549.04,492.08,547.53,"2,03,73,680"
27-08-2020,537.78,541,521.25,526.27,"90,62,912"
28-08-2020,532,539,522,523.89,"44,17,517"
31-08-2020,521.16,531.99,517.58,529.56,"49,41,409"
01-09-2020,532.6,557.39,532.45,556.55,"95,81,907"
02-09-2020,553.78,556.5,537.37,552.84,"58,86,930"
03-09-2020,545,554,521.32,525.75,"90,71,089"
04-09-2020,520.18,527.36,485.98,516.05,"82,70,118"
08-09-2020,498.4,522,495,507.02,"55,72,684"
09-09-2020,519.21,520,492.57,500.19,"68,48,127"
10-09-2020,503.35,506.29,478.84,480.67,"62,40,181"
11-09-2020,486.49,493.73,476.81,482.03,"50,35,200"
14-09-2020,480.62,488.99,471.3,476.26,"73,59,126"
15-09-2020,484,497.47,481.63,495.99,"53,36,992"
16-09-2020,499.99,504.66,483.31,483.86,"44,01,412"
17-09-2020,475.16,478.4,463.27,470.2,"53,79,301"
18-09-2020,472.51,479.4,458.6,469.96,"67,17,711"
21-09-2020,467.69,487.78,466.32,487.35,"54,57,539"
22-09-2020,489.01,491.82,479.26,491.17,"34,82,324"
23-09-2020,491.04,491.04,469,470.61,"37,26,423"
24-09-2020,470.53,477,467.82,473.08,"37,27,201"
25-09-2020,474.39,484.87,468.03,482.88,"37,69,436"
28-09-2020,489.11,492,477.88,490.65,"47,73,497"
29-09-2020,489.5,496.29,486.53,493.48,"35,43,193"
30-09-2020,492.57,504.63,489.27,500.03,"46,34,111"
01-10-2020,506.03,529.55,503.6,527.51,"81,53,710"
02-10-2020,516.43,526.37,502.7,503.06,"60,71,165"
05-10-2020,506.8,520.99,501.7,520.65,"40,88,069"
06-10-2020,518.72,521.82,504.16,505.87,"41,99,034"
07-10-2020,518,536.49,515.82,534.66,"79,88,683"
08-10-2020,533.48,535,524.15,531.79,"53,86,488"
09-10-2020,537.83,544.28,535,539.44,"47,81,259"
12-10-2020,548.81,551.81,538.24,539.81,"53,91,074"
13-10-2020,540.56,557.65,537.2,554.09,"56,02,498"
14-10-2020,562.61,572.49,541,541.45,"95,10,081"
15-10-2020,545.52,551.22,535.1,541.94,"51,13,126"
16-10-2020,549.5,554.33,530.03,530.79,"63,47,363"
19-10-2020,537.07,541.8,525.38,530.72,"75,67,506"
20-10-2020,528.14,533.78,522.26,525.42,"1,00,47,180"
21-10-2020,501.03,506.85,488.25,489.05,"1,74,05,711"
22-10-2020,494.69,495.14,482,485.23,"69,97,922"
23-10-2020,488.11,490.06,481.35,488.28,"49,27,862"
26-10-2020,487.03,496.82,478.9,488.24,"61,86,087"
27-10-2020,490.01,490.49,482.93,488.93,"36,27,175"
28-10-2020,486.36,494,483.28,486.24,"59,92,731"
29-10-2020,488.5,513.9,479.34,504.21,"1,11,20,690"
30-10-2020,502.01,505.88,472.21,475.74,"78,13,897"
02-11-2020,478.87,486.3,475,484.12,"44,08,193"
03-11-2020,484.93,495.31,478.76,487.22,"36,90,213"
04-11-2020,495.36,507.73,493.98,496.95,"51,37,330"
05-11-2020,506.56,518.73,503.45,513.76,"53,72,781"
06-11-2020,515,515.21,502.51,514.73,"42,36,349"
09-11-2020,485.54,495.85,467.26,470.5,"1,04,19,680"
10-11-2020,470.95,484.6,463.41,480.24,"83,06,142"
11-11-2020,483,491.68,478.26,490.76,"54,60,532"
12-11-2020,491,496.52,480.43,486.77,"50,71,155"
13-11-2020,486.77,488.94,477.8,482.84,"30,06,510"
16-11-2020,480,485.58,477.3,479.1,"39,53,563"
17-11-2020,480.12,487.51,478.85,480.63,"36,98,082"
18-11-2020,481.95,488.61,477.72,481.79,"36,29,237"
19-11-2020,482,487.8,480.47,484.67,"22,54,653"
20-11-2020,485.22,494.76,481.57,488.24,"42,55,924"
23-11-2020,490.46,491.15,475.84,476.62,"54,16,571"
24-11-2020,478.84,484.05,475.89,482.88,"35,57,894"
25-11-2020,485.13,486.9,478.92,485,"35,98,629"
27-11-2020,486.58,493.25,481.85,491.36,"28,05,762"
30-11-2020,490.08,492.55,481.27,490.7,"35,30,940"
01-12-2020,492.34,509.47,491.98,504.58,"50,63,234"
02-12-2020,501.62,506.8,493.5,503.38,"30,28,358"
03-12-2020,502.99,508.77,496.04,497.52,"28,26,116"
04-12-2020,497.5,504.5,493.64,498.31,"36,66,243"
07-12-2020,500.01,517.76,497.77,515.78,"42,89,293"
08-12-2020,517.9,521.49,505.55,512.66,"42,28,950"
09-12-2020,510.53,514.5,491.29,493.6,"41,78,768"
10-12-2020,494.56,503.77,492.91,501.09,"30,18,203"
